epoch,train_total,train_pos,train_ori,train_trans_m,train_rot_deg,train_mae_x,train_mae_y,train_mae_z,train_mae_qx,train_mae_qy,train_mae_qz,train_mae_qw,val_total,val_pos,val_ori,val_trans_m,val_rot_deg,val_mae_x,val_mae_y,val_mae_z,val_mae_qx,val_mae_qy,val_mae_qz,val_mae_qw,lr
24,2.918964,0.581164,0.013143,0.019244,15.776362,0.008973,0.007603,0.012131,0.084866,0.050223,0.030000,0.063068,2.003393,0.398079,0.012995,0.014703,15.791313,0.005614,0.008109,0.008504,0.085383,0.052846,0.032557,0.063248,1.000000e-04
25,3.010628,0.599500,0.013128,0.019513,15.757763,0.009110,0.008243,0.011952,0.084849,0.050082,0.029691,0.063089,2.165858,0.430555,0.013083,0.015792,15.740225,0.006720,0.008087,0.009298,0.084260,0.056299,0.032470,0.062680,1.000000e-04
26,2.951515,0.587679,0.013122,0.019150,15.751779,0.009126,0.007573,0.012100,0.084863,0.049874,0.029158,0.063059,2.437026,0.484819,0.012932,0.017296,15.162045,0.005486,0.006861,0.012841,0.082796,0.046189,0.027558,0.061890,1.000000e-04
27,2.920768,0.581532,0.013107,0.019114,15.772349,0.008948,0.007752,0.011981,0.084876,0.050133,0.029494,0.063114,2.464037,0.490220,0.012936,0.017197,15.856630,0.006901,0.005957,0.012662,0.086139,0.053730,0.028828,0.063653,1.000000e-04
28,2.912169,0.579817,0.013082,0.019131,15.718435,0.009167,0.007483,0.011931,0.084543,0.050263,0.029502,0.062866,2.013618,0.400138,0.012926,0.014614,15.801803,0.008615,0.005957,0.007661,0.085747,0.052564,0.029809,0.063490,1.000000e-04
29,2.665472,0.530463,0.013155,0.017856,15.759028,0.009081,0.007128,0.010635,0.084552,0.050473,0.030096,0.062913,2.169349,0.431292,0.012891,0.015934,15.865233,0.010568,0.004795,0.008327,0.086961,0.049822,0.027537,0.064063,1.000000e-04
30,2.687856,0.534946,0.013126,0.018098,15.756344,0.008432,0.006927,0.011666,0.084800,0.050082,0.029322,0.063011,2.218568,0.441147,0.012834,0.015898,15.556044,0.007758,0.007835,0.008619,0.085471,0.045132,0.027021,0.063241,1.000000e-04
31,82.176020,16.432574,0.013151,0.049058,15.749129,0.025558,0.017222,0.030789,0.084670,0.050215,0.029577,0.063021,15.600441,3.117501,0.012934,0.024349,15.800640,0.011162,0.010015,0.015465,0.086667,0.045643,0.028598,0.064004,1.000000e-04
32,25.741907,5.145752,0.013149,0.028360,15.750420,0.013636,0.011219,0.017729,0.084616,0.050082,0.029894,0.063006,11.412898,2.280002,0.012888,0.020776,15.722324,0.012765,0.008324,0.010132,0.086546,0.048144,0.026751,0.063859,1.000000e-04
33,12.921984,2.581779,0.013090,0.020116,15.716896,0.010226,0.007933,0.012098,0.084523,0.050154,0.029590,0.062912,12.757276,2.548847,0.013043,0.019730,16.184870,0.010887,0.004943,0.013246,0.089090,0.051020,0.027378,0.065416,1.000000e-04
34,13.062232,2.609826,0.013104,0.021051,15.752683,0.009752,0.008399,0.013432,0.084896,0.050042,0.029159,0.063104,10.425361,2.082467,0.013025,0.018516,16.155697,0.008645,0.008864,0.010675,0.088980,0.046727,0.026772,0.065410,1.000000e-04
35,10.799155,2.157211,0.013099,0.018820,15.746138,0.009195,0.007507,0.011561,0.084815,0.049640,0.029337,0.063022,14.304865,2.858398,0.012877,0.019138,15.492375,0.011919,0.007529,0.009865,0.084338,0.049716,0.028458,0.062705,1.000000e-04
36,12.244938,2.446367,0.013102,0.018537,15.712093,0.009530,0.007503,0.011083,0.084539,0.049911,0.029183,0.062818,5.413507,1.080131,0.012851,0.011913,15.529938,0.005676,0.004942,0.007378,0.085128,0.046064,0.026930,0.063107,1.000000e-04
37,8.452181,1.687821,0.013075,0.017326,15.724313,0.008656,0.006647,0.010714,0.084639,0.049851,0.029301,0.062919,4.578462,0.913123,0.012846,0.011668,15.195610,0.005704,0.004590,0.007208,0.083022,0.045253,0.026786,0.062051,1.000000e-04
